Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Central African Republic,Ombella-M'Poko,Bossembele,CAF,CF115,CF11,June,2011,0,0,5.2678614,17.6432208
Central African Republic,Ombella-M'Poko,Damara,CAF,CF112,CF11,June,2011,0,0,4.9561279,18.6977075
Central African Republic,Kemo,Dekoa,CAF,CF412,CF41,June,2011,0,0,6.3241784,19.075473
Central African Republic,Ouham,Nangha Boguila,CAF,CF324,CF32,June,2011,0,0,7.1314008,17.7041361
Central African Republic,Ouham,Bossangoa,CAF,CF321,CF32,June,2011,0,0,6.4924441,17.4463162
Central African Republic,Ouham-Pende,Bocaranga,CAF,CF312,CF31,June,2011,0,0,6.995897,15.638835
Central African Republic,Lobaye,Boganangone,CAF,CF124,CF12,June,2011,0,0,4.7387081,17.2068214
Central African Republic,Ombella-M'Poko,Bogangolo,CAF,CF113,CF11,June,2011,0,0,5.0726761,18.1717789
Central African Republic,Ombella-M'Poko,Yaloke,CAF,CF116,CF11,June,2011,0,0,5.3165124,17.1019118
Central African Republic,Ouaka,Grimari,CAF,CF433,CF43,June,2011,0,0,5.740166,20.0580918
Central African Republic,Mbomou,Rafai,CAF,CF624,CF62,June,2011,1,2,4.9712472,23.9320764
Central African Republic,Basse-Kotto,Zangba,CAF,CF615,CF61,June,2011,0,0,4.4428438,20.9743405
Central African Republic,Ouham,Kabo,CAF,CF327,CF32,June,2011,0,0,7.6920799,18.6243422
Central African Republic,Kemo,Sibut,CAF,CF411,CF41,June,2011,0,0,5.7350828,19.0850538
Central African Republic,Ouham-Pende,Bossemtele,CAF,CF316,CF31,June,2011,0,0,5.7963084,16.5157065
Central African Republic,Mbomou,Bangassou,CAF,CF621,CF62,June,2011,0,0,4.743526,22.8232963
Central African Republic,Ombella-M'Poko,Bimbo,CAF,CF111,CF11,June,2011,0,0,4.3228138,18.5248788
Central African Republic,Ouaka,Bambari,CAF,CF431,CF43,June,2011,0,0,5.7680014,20.6755705
Central African Republic,Ouaka,Kouango,CAF,CF434,CF43,June,2011,0,0,4.994105,19.9766951
Central African Republic,Bamingui-Bangoran,Bamingui,CAF,CF512,CF51,June,2011,0,0,7.5595396,20.1773437
Central African Republic,Ouham,Markounda,CAF,CF323,CF32,June,2011,0,0,7.6186416,16.9616699
Central African Republic,Haut-Mbomou,Djema,CAF,CF634,CF63,June,2011,0,0,6.3497929,25.6508738
Central African Republic,Nana-Grebizi,Mbres,CAF,CF422,CF42,July,2011,0,0,6.6707252,19.7977333
Central African Republic,Vakaga,Birao,CAF,CF531,CF53,July,2011,1,1,10.2961965,22.7809907
Central African Republic,Mbomou,Ouango,CAF,CF622,CF62,July,2011,0,0,4.3118795,22.5523782
Central African Republic,Ouaka,Ippy,CAF,CF435,CF43,July,2011,0,0,6.2605641,21.2000369
Central African Republic,Basse-Kotto,Mingala,CAF,CF614,CF61,July,2011,0,0,5.101097,21.8057021
Central African Republic,Nana-Grebizi,Kaga-Bandoro,CAF,CF421,CF42,July,2011,0,0,6.9993145,19.182305
Central African Republic,Ouham,Nana-Bakassa,CAF,CF322,CF32,July,2011,0,0,6.9910168,17.2762599
Central African Republic,Mambere-Kadei,Sosso-Nakombo,CAF,CF215,CF21,July,2011,0,0,3.9175622,15.5011498
Central African Republic,Nana-Mambere,Baboua,CAF,CF223,CF22,July,2011,0,0,5.8055823,14.8327321
Central African Republic,Mambere-Kadei,Gadzi,CAF,CF217,CF21,July,2011,0,0,4.7812482,16.7059952
Central African Republic,Ouham-Pende,Ngaoundaye,CAF,CF315,CF31,July,2011,0,0,7.476419,15.60212
Central African Republic,Bamingui-Bangoran,Ndele,CAF,CF511,CF51,July,2011,0,0,8.4111477,20.648473
Central African Republic,Haut-Mbomou,Bambouti,CAF,CF632,CF63,July,2011,0,0,5.3996702,27.204695
Central African Republic,Ombella-M'Poko,Boali,CAF,CF114,CF11,July,2011,0,0,4.8092828,18.1139613
Central African Republic,Ouham-Pende,Koui,CAF,CF313,CF31,July,2011,0,0,6.9368005,15.4480861
Central African Republic,Mambere-Kadei,Dede-Mokouba,CAF,CF216,CF21,July,2011,0,0,3.9337477,15.2402971
Central African Republic,Lobaye,Mbaiki,CAF,CF121,CF12,July,2011,0,0,3.8728278,17.9860847
Central African Republic,Lobaye,Boda,CAF,CF123,CF12,July,2011,0,0,4.3197665,17.4669538
Central African Republic,Lobaye,Mongoumba,CAF,CF122,CF12,July,2011,0,0,3.6382754,18.5948982
Central African Republic,Mambere-Kadei,Carnot,CAF,CF213,CF21,July,2011,0,0,4.9418234,15.8688285
Central African Republic,Nana-Mambere,Abba,CAF,CF224,CF22,July,2011,0,0,5.3314081,15.1505607
Central African Republic,Ouham,Bouca,CAF,CF325,CF32,July,2011,0,0,6.5086131,18.2758627
Central African Republic,Ouham,Batangafo,CAF,CF326,CF32,July,2011,0,0,7.3039831,18.2910914
Central African Republic,Haute-Kotto,Bria,CAF,CF521,CF52,July,2011,0,0,6.5392451,21.98698
Central African Republic,Haute-Kotto,Yalinga,CAF,CF523,CF52,July,2011,0,0,6.5103137,23.2500743
Central African Republic,Haut-Mbomou,Zemio,CAF,CF633,CF63,July,2011,0,0,5.0247528,25.1292659
Central African Republic,Basse-Kotto,Satema,CAF,CF616,CF61,July,2011,0,0,4.3095951,21.6852457
Central African Republic,Mbomou,Bakouma,CAF,CF625,CF62,July,2011,0,0,5.6982151,22.7852158
Central African Republic,Basse-Kotto,Kembe,CAF,CF613,CF61,July,2011,0,0,4.6110899,21.8803537
Central African Republic,Mbomou,Gambo,CAF,CF623,CF62,July,2011,0,0,4.7300048,22.7961433
Central African Republic,Basse-Kotto,Mobaye,CAF,CF611,CF61,July,2011,0,0,4.3254367,21.1778122
Central African Republic,Ouaka,Bakala,CAF,CF432,CF43,July,2011,0,0,6.1966141,20.387883
Central African Republic,Mambere-Kadei,Gamboula,CAF,CF212,CF21,July,2011,0,0,4.1199652,15.1362145
Central African Republic,Sangha-Mbaere,Bambio,CAF,CF232,CF23,July,2011,0,0,3.9498972,16.9576789
Central African Republic,Lobaye,Boganda,CAF,CF125,CF12,July,2011,0,0,4.2737257,17.0475023
Central African Republic,Nana-Mambere,Baoro,CAF,CF222,CF22,July,2011,0,0,5.694576,15.953318
Central African Republic,Ouham-Pende,Paoua,CAF,CF314,CF31,July,2011,0,0,7.2407,16.432496
Central African Republic,Ouham-Pende,Bozoum,CAF,CF311,CF31,July,2011,0,0,6.3147379,16.3806392
Central African Republic,Sangha-Mbaere,Nola,CAF,CF231,CF23,July,2011,0,0,3.5224201,16.0535833
Central African Republic,Vakaga,Ouanda-Djalle,CAF,CF532,CF53,July,2011,0,0,8.9006573,22.8025341
Central African Republic,Kemo,Ndjoukou,CAF,CF414,CF41,July,2011,0,0,5.9480074,19.2158871
Central African Republic,Basse-Kotto,Alindao,CAF,CF612,CF61,July,2011,0,0,5.0421303,21.2109342
Central African Republic,Mambere-Kadei,Berberati,CAF,CF211,CF21,July,2011,0,0,4.2593379,15.7877826
Central African Republic,Haut-Mbomou,Obo,CAF,CF631,CF63,July,2011,0,0,5.3940869,26.4927242
Central African Republic,Kemo,Mala,CAF,CF413,CF41,July,2011,0,0,6.1137083,19.5052166
Central African Republic,Mambere-Kadei,Amada-Gaza,CAF,CF214,CF21,July,2011,0,0,4.7730308,15.1960719
Central African Republic,Bangui,Bangui,CAF,CF711,CF71,July,2011,1,1,4.3635118,18.5835913
Central African Republic,Nana-Mambere,Bouar,CAF,CF221,CF22,July,2011,0,0,5.9354018,15.5921894
Central African Republic,Sangha-Mbaere,Bayanga,CAF,CF233,CF23,July,2011,0,0,2.912403,16.2611354
Central African Republic,Haute-Kotto,Ouadda,CAF,CF522,CF52,July,2011,0,0,8.0715808,22.3962224
Central African Republic,Ombella-M'Poko,Bossembele,CAF,CF115,CF11,July,2011,0,0,5.2678614,17.6432208
Central African Republic,Ombella-M'Poko,Damara,CAF,CF112,CF11,July,2011,0,0,4.9561279,18.6977075
Central African Republic,Kemo,Dekoa,CAF,CF412,CF41,July,2011,0,0,6.3241784,19.075473
Central African Republic,Ouham,Nangha Boguila,CAF,CF324,CF32,July,2011,0,0,7.1314008,17.7041361
Central African Republic,Ouham,Bossangoa,CAF,CF321,CF32,July,2011,0,0,6.4924441,17.4463162
Central African Republic,Ouham-Pende,Bocaranga,CAF,CF312,CF31,July,2011,0,0,6.995897,15.638835
Central African Republic,Lobaye,Boganangone,CAF,CF124,CF12,July,2011,0,0,4.7387081,17.2068214
Central African Republic,Ombella-M'Poko,Bogangolo,CAF,CF113,CF11,July,2011,0,0,5.0726761,18.1717789
Central African Republic,Ombella-M'Poko,Yaloke,CAF,CF116,CF11,July,2011,0,0,5.3165124,17.1019118
Central African Republic,Ouaka,Grimari,CAF,CF433,CF43,July,2011,0,0,5.740166,20.0580918
Central African Republic,Mbomou,Rafai,CAF,CF624,CF62,July,2011,1,1,4.9712472,23.9320764
Central African Republic,Basse-Kotto,Zangba,CAF,CF615,CF61,July,2011,0,0,4.4428438,20.9743405
Central African Republic,Ouham,Kabo,CAF,CF327,CF32,July,2011,0,0,7.6920799,18.6243422
Central African Republic,Kemo,Sibut,CAF,CF411,CF41,July,2011,0,0,5.7350828,19.0850538
Central African Republic,Ouham-Pende,Bossemtele,CAF,CF316,CF31,July,2011,0,0,5.7963084,16.5157065
Central African Republic,Mbomou,Bangassou,CAF,CF621,CF62,July,2011,0,0,4.743526,22.8232963
Central African Republic,Ombella-M'Poko,Bimbo,CAF,CF111,CF11,July,2011,0,0,4.3228138,18.5248788
Central African Republic,Ouaka,Bambari,CAF,CF431,CF43,July,2011,0,0,5.7680014,20.6755705
Central African Republic,Ouaka,Kouango,CAF,CF434,CF43,July,2011,0,0,4.994105,19.9766951
Central African Republic,Bamingui-Bangoran,Bamingui,CAF,CF512,CF51,July,2011,0,0,7.5595396,20.1773437
Central African Republic,Ouham,Markounda,CAF,CF323,CF32,July,2011,0,0,7.6186416,16.9616699
Central African Republic,Haut-Mbomou,Djema,CAF,CF634,CF63,July,2011,0,0,6.3497929,25.6508738
Central African Republic,Nana-Grebizi,Mbres,CAF,CF422,CF42,August,2011,0,0,6.6707252,19.7977333
Central African Republic,Vakaga,Birao,CAF,CF531,CF53,August,2011,0,0,10.2961965,22.7809907
Central African Republic,Mbomou,Ouango,CAF,CF622,CF62,August,2011,0,0,4.3118795,22.5523782
Central African Republic,Ouaka,Ippy,CAF,CF435,CF43,August,2011,0,0,6.2605641,21.2000369
Central African Republic,Basse-Kotto,Mingala,CAF,CF614,CF61,August,2011,0,0,5.101097,21.8057021
Central African Republic,Nana-Grebizi,Kaga-Bandoro,CAF,CF421,CF42,August,2011,0,0,6.9993145,19.182305
Central African Republic,Ouham,Nana-Bakassa,CAF,CF322,CF32,August,2011,0,0,6.9910168,17.2762599
Central African Republic,Mambere-Kadei,Sosso-Nakombo,CAF,CF215,CF21,August,2011,0,0,3.9175622,15.5011498
Central African Republic,Nana-Mambere,Baboua,CAF,CF223,CF22,August,2011,0,0,5.8055823,14.8327321
Central African Republic,Mambere-Kadei,Gadzi,CAF,CF217,CF21,August,2011,0,0,4.7812482,16.7059952
Central African Republic,Ouham-Pende,Ngaoundaye,CAF,CF315,CF31,August,2011,0,0,7.476419,15.60212
Central African Republic,Bamingui-Bangoran,Ndele,CAF,CF511,CF51,August,2011,0,0,8.4111477,20.648473
Central African Republic,Haut-Mbomou,Bambouti,CAF,CF632,CF63,August,2011,0,0,5.3996702,27.204695
Central African Republic,Ombella-M'Poko,Boali,CAF,CF114,CF11,August,2011,0,0,4.8092828,18.1139613
Central African Republic,Ouham-Pende,Koui,CAF,CF313,CF31,August,2011,0,0,6.9368005,15.4480861
Central African Republic,Mambere-Kadei,Dede-Mokouba,CAF,CF216,CF21,August,2011,0,0,3.9337477,15.2402971
Central African Republic,Lobaye,Mbaiki,CAF,CF121,CF12,August,2011,0,0,3.8728278,17.9860847
Central African Republic,Lobaye,Boda,CAF,CF123,CF12,August,2011,0,0,4.3197665,17.4669538
Central African Republic,Lobaye,Mongoumba,CAF,CF122,CF12,August,2011,0,0,3.6382754,18.5948982
Central African Republic,Mambere-Kadei,Carnot,CAF,CF213,CF21,August,2011,0,0,4.9418234,15.8688285
Central African Republic,Nana-Mambere,Abba,CAF,CF224,CF22,August,2011,0,0,5.3314081,15.1505607
Central African Republic,Ouham,Bouca,CAF,CF325,CF32,August,2011,0,0,6.5086131,18.2758627
Central African Republic,Ouham,Batangafo,CAF,CF326,CF32,August,2011,0,0,7.3039831,18.2910914
Central African Republic,Haute-Kotto,Bria,CAF,CF521,CF52,August,2011,0,0,6.5392451,21.98698
Central African Republic,Haute-Kotto,Yalinga,CAF,CF523,CF52,August,2011,0,0,6.5103137,23.2500743
Central African Republic,Haut-Mbomou,Zemio,CAF,CF633,CF63,August,2011,0,0,5.0247528,25.1292659
Central African Republic,Basse-Kotto,Satema,CAF,CF616,CF61,August,2011,0,0,4.3095951,21.6852457
Central African Republic,Mbomou,Bakouma,CAF,CF625,CF62,August,2011,0,0,5.6982151,22.7852158
Central African Republic,Basse-Kotto,Kembe,CAF,CF613,CF61,August,2011,0,0,4.6110899,21.8803537
Central African Republic,Mbomou,Gambo,CAF,CF623,CF62,August,2011,0,0,4.7300048,22.7961433
Central African Republic,Basse-Kotto,Mobaye,CAF,CF611,CF61,August,2011,0,0,4.3254367,21.1778122
Central African Republic,Ouaka,Bakala,CAF,CF432,CF43,August,2011,0,0,6.1966141,20.387883
Central African Republic,Mambere-Kadei,Gamboula,CAF,CF212,CF21,August,2011,0,0,4.1199652,15.1362145
Central African Republic,Sangha-Mbaere,Bambio,CAF,CF232,CF23,August,2011,0,0,3.9498972,16.9576789
Central African Republic,Lobaye,Boganda,CAF,CF125,CF12,August,2011,0,0,4.2737257,17.0475023
Central African Republic,Nana-Mambere,Baoro,CAF,CF222,CF22,August,2011,0,0,5.694576,15.953318
Central African Republic,Ouham-Pende,Paoua,CAF,CF314,CF31,August,2011,0,0,7.2407,16.432496
Central African Republic,Ouham-Pende,Bozoum,CAF,CF311,CF31,August,2011,0,0,6.3147379,16.3806392
Central African Republic,Sangha-Mbaere,Nola,CAF,CF231,CF23,August,2011,0,0,3.5224201,16.0535833
Central African Republic,Vakaga,Ouanda-Djalle,CAF,CF532,CF53,August,2011,0,0,8.9006573,22.8025341
Central African Republic,Kemo,Ndjoukou,CAF,CF414,CF41,August,2011,0,0,5.9480074,19.2158871
Central African Republic,Basse-Kotto,Alindao,CAF,CF612,CF61,August,2011,0,0,5.0421303,21.2109342
Central African Republic,Mambere-Kadei,Berberati,CAF,CF211,CF21,August,2011,0,0,4.2593379,15.7877826
Central African Republic,Haut-Mbomou,Obo,CAF,CF631,CF63,August,2011,0,0,5.3940869,26.4927242
Central African Republic,Kemo,Mala,CAF,CF413,CF41,August,2011,0,0,6.1137083,19.5052166
Central African Republic,Mambere-Kadei,Amada-Gaza,CAF,CF214,CF21,August,2011,0,0,4.7730308,15.1960719
Central African Republic,Bangui,Bangui,CAF,CF711,CF71,August,2011,2,0,4.3635118,18.5835913
Central African Republic,Nana-Mambere,Bouar,CAF,CF221,CF22,August,2011,0,0,5.9354018,15.5921894
Central African Republic,Sangha-Mbaere,Bayanga,CAF,CF233,CF23,August,2011,0,0,2.912403,16.2611354
Central African Republic,Haute-Kotto,Ouadda,CAF,CF522,CF52,August,2011,0,0,8.0715808,22.3962224
Central African Republic,Ombella-M'Poko,Bossembele,CAF,CF115,CF11,August,2011,0,0,5.2678614,17.6432208
Central African Republic,Ombella-M'Poko,Damara,CAF,CF112,CF11,August,2011,0,0,4.9561279,18.6977075
Central African Republic,Kemo,Dekoa,CAF,CF412,CF41,August,2011,0,0,6.3241784,19.075473
Central African Republic,Ouham,Nangha Boguila,CAF,CF324,CF32,August,2011,0,0,7.1314008,17.7041361
Central African Republic,Ouham,Bossangoa,CAF,CF321,CF32,August,2011,0,0,6.4924441,17.4463162
Central African Republic,Ouham-Pende,Bocaranga,CAF,CF312,CF31,August,2011,0,0,6.995897,15.638835
Central African Republic,Lobaye,Boganangone,CAF,CF124,CF12,August,2011,0,0,4.7387081,17.2068214
Central African Republic,Ombella-M'Poko,Bogangolo,CAF,CF113,CF11,August,2011,0,0,5.0726761,18.1717789
Central African Republic,Ombella-M'Poko,Yaloke,CAF,CF116,CF11,August,2011,0,0,5.3165124,17.1019118
Central African Republic,Ouaka,Grimari,CAF,CF433,CF43,August,2011,0,0,5.740166,20.0580918
Central African Republic,Mbomou,Rafai,CAF,CF624,CF62,August,2011,0,0,4.9712472,23.9320764
Central African Republic,Basse-Kotto,Zangba,CAF,CF615,CF61,August,2011,0,0,4.4428438,20.9743405
Central African Republic,Ouham,Kabo,CAF,CF327,CF32,August,2011,0,0,7.6920799,18.6243422
Central African Republic,Kemo,Sibut,CAF,CF411,CF41,August,2011,0,0,5.7350828,19.0850538
Central African Republic,Ouham-Pende,Bossemtele,CAF,CF316,CF31,August,2011,0,0,5.7963084,16.5157065
Central African Republic,Mbomou,Bangassou,CAF,CF621,CF62,August,2011,0,0,4.743526,22.8232963
Central African Republic,Ombella-M'Poko,Bimbo,CAF,CF111,CF11,August,2011,0,0,4.3228138,18.5248788
Central African Republic,Ouaka,Bambari,CAF,CF431,CF43,August,2011,1,0,5.7680014,20.6755705
Central African Republic,Ouaka,Kouango,CAF,CF434,CF43,August,2011,0,0,4.994105,19.9766951
Central African Republic,Bamingui-Bangoran,Bamingui,CAF,CF512,CF51,August,2011,0,0,7.5595396,20.1773437
Central African Republic,Ouham,Markounda,CAF,CF323,CF32,August,2011,0,0,7.6186416,16.9616699
Central African Republic,Haut-Mbomou,Djema,CAF,CF634,CF63,August,2011,0,0,6.3497929,25.6508738
Central African Republic,Nana-Grebizi,Mbres,CAF,CF422,CF42,September,2011,0,0,6.6707252,19.7977333
Central African Republic,Vakaga,Birao,CAF,CF531,CF53,September,2011,0,0,10.2961965,22.7809907
Central African Republic,Mbomou,Ouango,CAF,CF622,CF62,September,2011,0,0,4.3118795,22.5523782
Central African Republic,Ouaka,Ippy,CAF,CF435,CF43,September,2011,0,0,6.2605641,21.2000369
Central African Republic,Basse-Kotto,Mingala,CAF,CF614,CF61,September,2011,0,0,5.101097,21.8057021
Central African Republic,Nana-Grebizi,Kaga-Bandoro,CAF,CF421,CF42,September,2011,0,0,6.9993145,19.182305
Central African Republic,Ouham,Nana-Bakassa,CAF,CF322,CF32,September,2011,0,0,6.9910168,17.2762599
Central African Republic,Mambere-Kadei,Sosso-Nakombo,CAF,CF215,CF21,September,2011,0,0,3.9175622,15.5011498
Central African Republic,Nana-Mambere,Baboua,CAF,CF223,CF22,September,2011,0,0,5.8055823,14.8327321
Central African Republic,Mambere-Kadei,Gadzi,CAF,CF217,CF21,September,2011,0,0,4.7812482,16.7059952
Central African Republic,Ouham-Pende,Ngaoundaye,CAF,CF315,CF31,September,2011,0,0,7.476419,15.60212
Central African Republic,Bamingui-Bangoran,Ndele,CAF,CF511,CF51,September,2011,0,0,8.4111477,20.648473
Central African Republic,Haut-Mbomou,Bambouti,CAF,CF632,CF63,September,2011,0,0,5.3996702,27.204695
Central African Republic,Ombella-M'Poko,Boali,CAF,CF114,CF11,September,2011,0,0,4.8092828,18.1139613
Central African Republic,Ouham-Pende,Koui,CAF,CF313,CF31,September,2011,0,0,6.9368005,15.4480861
Central African Republic,Mambere-Kadei,Dede-Mokouba,CAF,CF216,CF21,September,2011,0,0,3.9337477,15.2402971
Central African Republic,Lobaye,Mbaiki,CAF,CF121,CF12,September,2011,0,0,3.8728278,17.9860847
Central African Republic,Lobaye,Boda,CAF,CF123,CF12,September,2011,0,0,4.3197665,17.4669538
Central African Republic,Lobaye,Mongoumba,CAF,CF122,CF12,September,2011,0,0,3.6382754,18.5948982
Central African Republic,Mambere-Kadei,Carnot,CAF,CF213,CF21,September,2011,0,0,4.9418234,15.8688285
Central African Republic,Nana-Mambere,Abba,CAF,CF224,CF22,September,2011,0,0,5.3314081,15.1505607
Central African Republic,Ouham,Bouca,CAF,CF325,CF32,September,2011,0,0,6.5086131,18.2758627
Central African Republic,Ouham,Batangafo,CAF,CF326,CF32,September,2011,0,0,7.3039831,18.2910914
Central African Republic,Haute-Kotto,Bria,CAF,CF521,CF52,September,2011,0,0,6.5392451,21.98698
Central African Republic,Haute-Kotto,Yalinga,CAF,CF523,CF52,September,2011,0,0,6.5103137,23.2500743
Central African Republic,Haut-Mbomou,Zemio,CAF,CF633,CF63,September,2011,0,0,5.0247528,25.1292659
Central African Republic,Basse-Kotto,Satema,CAF,CF616,CF61,September,2011,0,0,4.3095951,21.6852457
Central African Republic,Mbomou,Bakouma,CAF,CF625,CF62,September,2011,0,0,5.6982151,22.7852158
Central African Republic,Basse-Kotto,Kembe,CAF,CF613,CF61,September,2011,0,0,4.6110899,21.8803537
Central African Republic,Mbomou,Gambo,CAF,CF623,CF62,September,2011,0,0,4.7300048,22.7961433
Central African Republic,Basse-Kotto,Mobaye,CAF,CF611,CF61,September,2011,0,0,4.3254367,21.1778122
Central African Republic,Ouaka,Bakala,CAF,CF432,CF43,September,2011,0,0,6.1966141,20.387883
Central African Republic,Mambere-Kadei,Gamboula,CAF,CF212,CF21,September,2011,0,0,4.1199652,15.1362145
Central African Republic,Sangha-Mbaere,Bambio,CAF,CF232,CF23,September,2011,0,0,3.9498972,16.9576789
Central African Republic,Lobaye,Boganda,CAF,CF125,CF12,September,2011,0,0,4.2737257,17.0475023
Central African Republic,Nana-Mambere,Baoro,CAF,CF222,CF22,September,2011,0,0,5.694576,15.953318
Central African Republic,Ouham-Pende,Paoua,CAF,CF314,CF31,September,2011,0,0,7.2407,16.432496
Central African Republic,Ouham-Pende,Bozoum,CAF,CF311,CF31,September,2011,0,0,6.3147379,16.3806392
Central African Republic,Sangha-Mbaere,Nola,CAF,CF231,CF23,September,2011,0,0,3.5224201,16.0535833
Central African Republic,Vakaga,Ouanda-Djalle,CAF,CF532,CF53,September,2011,0,0,8.9006573,22.8025341
Central African Republic,Kemo,Ndjoukou,CAF,CF414,CF41,September,2011,0,0,5.9480074,19.2158871
Central African Republic,Basse-Kotto,Alindao,CAF,CF612,CF61,September,2011,0,0,5.0421303,21.2109342
Central African Republic,Mambere-Kadei,Berberati,CAF,CF211,CF21,September,2011,0,0,4.2593379,15.7877826
Central African Republic,Haut-Mbomou,Obo,CAF,CF631,CF63,September,2011,0,0,5.3940869,26.4927242
Central African Republic,Kemo,Mala,CAF,CF413,CF41,September,2011,0,0,6.1137083,19.5052166
Central African Republic,Mambere-Kadei,Amada-Gaza,CAF,CF214,CF21,September,2011,0,0,4.7730308,15.1960719
Central African Republic,Bangui,Bangui,CAF,CF711,CF71,September,2011,0,0,4.3635118,18.5835913
Central African Republic,Nana-Mambere,Bouar,CAF,CF221,CF22,September,2011,0,0,5.9354018,15.5921894
Central African Republic,Sangha-Mbaere,Bayanga,CAF,CF233,CF23,September,2011,0,0,2.912403,16.2611354
Central African Republic,Haute-Kotto,Ouadda,CAF,CF522,CF52,September,2011,1,7,8.0715808,22.3962224
Central African Republic,Ombella-M'Poko,Bossembele,CAF,CF115,CF11,September,2011,0,0,5.2678614,17.6432208
Central African Republic,Ombella-M'Poko,Damara,CAF,CF112,CF11,September,2011,0,0,4.9561279,18.6977075
Central African Republic,Kemo,Dekoa,CAF,CF412,CF41,September,2011,0,0,6.3241784,19.075473
Central African Republic,Ouham,Nangha Boguila,CAF,CF324,CF32,September,2011,0,0,7.1314008,17.7041361
